geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,asst_unts,du_cmps,yrblt_mdn,foreclsr,prd_viol,avg_huval,sqft_val,crm_pers,crm_prop,crm_scty,crash,pc_vterm,pc_appr,pc_krdy,pc_nhsg,pc_clgg,pc_frlu,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
84,Cherokee Park Neighborhood Association,No,209.0,839,97.7,1431,1.7,9.0,35.1,94.8,1.5,1.3,1.0,1.4,777,426,9.4,1.5,899,0,0,1983,8,18,256289,92,0,15,4,1,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,97.5,20,N/A,5.8
105,Eken Park Neighborhood Association,No,223.5,1366,50.4,2505,6.2,15.0,6.8,78.3,8.9,2.0,4.0,6.7,1282,518,16.3,5.5,1358,33,0,1948,11,79,134585,124,27,98,164,38,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",97.7,2341,N/A,7.2
169,Orchard Ridge Neighborhood Association,No,562.2,1082,75.9,2262,5.0,17.4,21.3,87.6,3.5,3.0,2.3,3.5,1036,641,21.0,3.8,1070,10,0,1964,3,14,208224,99,9,95,55,45,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",98.7,1279,N/A,7.2
175,Greystone,No,36.3,112,91.4,283,10.8,32.1,5.0,80.8,0.0,10.3,3.8,5.0,105,77,47.6,8.8,128,0,0,2004,0,0,372563,135,0,1,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,0,0,N/A,7.7
88,High Crossing Neighborhood Association,No,725.3,615,31.1,1020,5.8,14.8,11.9,75.5,12.3,5.9,2.0,4.3,542,190,15.2,7.3,607,83,0,2002,3,6,N/A,N/A,4,51,39,13,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B",40.3,136,N/A,6.1
140,Vilas Neighborhood Association,No,195.4,724,48.3,1881,3.2,13.4,6.6,90.8,1.0,3.5,2.0,2.8,705,321,20.1,2.0,734,0,0,1921,0,15,450096,198,6,54,30,25,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",57,1244,N/A,5.9
87,North Lake Mendota Neighborhood Association,No,331.9,251,90.1,898,5.6,15.1,8.8,86.3,5.3,4.2,2.5,1.6,244,176,27.2,4.4,274,1,0,1992,1,3,238868,114,0,7,1,1,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,55.2,258,N/A,6.3
144,Tamarack Trails Community Condominium Association,No,63.8,238,62.8,464,10.5,26.4,25.5,58.0,23.0,6.0,5.6,7.5,224,137,30.1,21.8,320,0,0,1978,0,0,210447,103,0,9,1,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",100,275,N/A,5.6
161,Arbor Hills Neighborhood Association,No,209.5,469,77.7,1102,4.8,20.2,18.3,75.8,12.0,2.7,4.1,5.3,447,315,24.7,6.1,463,7,0,1970,2,31,251856,94,4,22,24,9,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,C",100,466,N/A,6.2
182,Schenk-Atwood-Starkweather-Yahara Neighborhood Association,No,570.8,3117,51.4,5773,4.9,15.6,6.2,88.0,3.7,1.6,2.9,3.8,2996,1189,17.7,4.3,3127,23,0,1925,13,81,225054,171,31,187,210,83,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",99.4,3022,N/A,6.4
132,East Buckeye Neighborhood Association,No,352.8,766,90.3,2043,5.8,23.0,5.8,85.2,4.7,2.9,2.0,5.1,747,600,32.9,4.8,772,8,0,1985,6,7,189909,106,2,12,18,6,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,97.9,241,N/A,6.9
106,Emerson East Neighborhood Association,No,326.2,1058,54.8,2042,7.3,16.7,5.7,83.9,6.2,1.0,3.2,5.6,1013,419,19.5,5.6,1070,81,0,1925,9,53,172265,142,23,113,151,47,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",98.4,2516,N/A,8.1
